@RELATION Leaf_Classification

@ATTRIBUTE Contrast numeric
@ATTRIBUTE Homogeneity numeric
@ATTRIBUTE ASM numeric
@ATTRIBUTE Dissimilarity numeric
@ATTRIBUTE Energy numeric
@ATTRIBUTE class {Aguacate,Guaycacan,Coralillo}

@DATA
674876,4764419.52941,3360610976,530942,57970.7769139,Aguacate
1603491,4549787.9074,1712127326,1018975,41377.8603362,Aguacate
1467183,4589931.79257,3114955050,936941,55811.7823582,Aguacate
84542867,1915048.98983,1119209428,12253977,33454.5875479,Aguacate
1572644,4426259.2993,3075802324,1241898,55459.9163721,Aguacate
1786559,4499077.93344,4005149090,1129259,63286.2472422,Aguacate
5231408,3946728.34002,1244027296,2467066,35270.7711285,Aguacate
852892,4665955.45882,300536732,724684,17335.99527,Aguacate
645225,4744221.9,3937111336,559701,62746.4049647,Aguacate
2093087,4416251.80789,1655920144,1310023,40692.9987099,Aguacate
151350742,1368100.43464,213408656,17947940,14608.5131345,Aguacate
786627,4691994.68824,3262773574,670247,57120.6930455,Aguacate
663132,4737858.0,2993873062,573292,54716.2961283,Aguacate
2624559,4282343.87371,822221558,1605307,28674.4059747,Aguacate
27312033,2418862.20192,2682022536,7558501,51788.2470837,Aguacate
1522630,4376212.98552,1965005402,1319042,44328.3814503,Aguacate
1621318,4352192.00995,1082704386,1375460,32904.4736472,Aguacate
3609639,4066742.06831,3227431800,2092839,56810.4902285,Aguacate
325719698,977328.439564,378906938,28709712,19465.5320503,Aguacate
1418702,4397722.85882,253775928,1265954,15930.3461356,Aguacate
1016166,4572618.88235,2503428236,907526,50034.2706152,Aguacate
1391942,4574575.03265,2494036690,950370,49940.3312965,Aguacate
731012,4770829.12653,3472688438,526822,58929.5209382,Aguacate
487720,4832289.29412,825863044,386474,28737.8329733,Aguacate
444560,4836729.2,3405197162,372078,58354.0672276,Aguacate
1431433,4562734.77713,4247236918,975617,65170.8287349,Aguacate
780311,4757061.39576,2480602906,557195,49805.651346,Aguacate
513085,4825584.27647,2477471448,401809,49774.2046446,Aguacate
466975,4829914.9,1662580748,387171,40774.7562592,Aguacate
1506778,4540441.49072,912933964,1023316,30214.7971034,Aguacate
928442,4712808.48949,2950210646,653024,54315.841575,Aguacate
668884,4775119.86063,1656534016,511080,40700.5407335,Aguacate
659654,4760757.51765,3121666884,534426,55871.879188,Aguacate
1635094,4502641.35646,1329056786,1104326,36456.2310998,Aguacate
1475592,4555327.41504,2432002818,993924,49315.340595,Aguacate
89681583,1773704.32646,2069915840,13337221,45496.3277639,Aguacate
1777994,4372518.4292,2437211722,1359052,49368.1245542,Aguacate
1850444,4440063.9321,3586498834,1238990,59887.3845981,Aguacate
5568806,3820885.54776,2907553792,2727672,53921.7376575,Aguacate
887028,4642610.78009,1313681876,769070,36244.7496336,Aguacate
650762,4730999.0,645410840,582662,25404.9373154,Aguacate
2214990,4339326.49296,1342217442,1457968,36636.2858652,Aguacate
180132075,1256621.55409,2561805202,20300651,50614.2786376,Aguacate
817367,4666933.84118,1800716486,717133,42434.8498996,Aguacate
672124,4722644.8,3555648490,600146,59629.2586739,Aguacate
2858951,4177229.72783,2998231738,1816951,54756.1114215,Aguacate
34442457,2205920.57407,3961588214,8726115,62941.1488138,Aguacate
1837947,4286915.48069,2774795016,1516581,52676.3231063,Aguacate
1909086,4263114.2696,3289844518,1570012,57357.1662306,Aguacate
4099176,3922661.25044,2547559840,2407152,50473.3577246,Aguacate
429200209,970125.076772,363689294,32822853,19070.6395803,Aguacate
